Time,Sensor1a,Amb_Temp,Sensor1b,Accel_X,Sensor1c,Accel_Y,Sensor1d,Accel_Z,Sensor2a,Volume,Sensor2b,Volume_%,Sensor3a,Batttery_V,Sensor3b,Batttery_Level_%,Sensor4a,Pressure,Sensor4b,Pressure_%,Sensor5a,Body_Temp_C,Sensor5b,Body_Temp_F,Sensor6a,Heart_rate,BPM,IBI
2023-04-11 19:16:01,Amb_Temperature,24.78,Accel_X,0.02,Accel_Y,-0.25,Accel_Z,10.13,Volume,0.00000,W_Capacity_%,0.00,Battery_Voltage,2.47,Battery_Level_%,-168.23,Pressure,63.4,P_Capacity_%,48.60,Body_temp_C,23.44,Body_temp_F,74.19,Heart_rate,77,758,527
2023-04-11 19:16:02,Amb_Temperature,24.77,Accel_X,0.02,Accel_Y,-0.25,Accel_Z,10.14,Volume,0.00000,W_Capacity_%,0.00,Battery_Voltage,2.45,Battery_Level_%,-170.10,Pressure,64.5,P_Capacity_%,49.44,Body_temp_C,23.44,Body_temp_F,74.19,Heart_rate,78,780,525
2023-04-11 19:16:03,Amb_Temperature,24.75,Accel_X,0.02,Accel_Y,-0.26,Accel_Z,10.12,Volume,0.00000,W_Capacity_%,0.00,Battery_Voltage,2.45,Battery_Level_%,-170.62,Pressure,62.8,P_Capacity_%,48.18,Body_temp_C,23.44,Body_temp_F,74.19,Heart_rate,78,766,527
2023-04-11 19:16:04,Amb_Temperature,24.72,Accel_X,0.01,Accel_Y,-0.25,Accel_Z,10.12,Volume,0.00000,W_Capacity_%,0.00,Battery_Voltage,2.48,Battery_Level_%,-166.68,Pressure,62.8,P_Capacity_%,48.18,Body_temp_C,23.44,Body_temp_F,74.19,Heart_rate,78,764,525
2023-04-11 19:16:04,Amb_Temperature,24.75,Accel_X,0.02,Accel_Y,-0.25,Accel_Z,10.15,Volume,0.00000,W_Capacity_%,0.00,Battery_Voltage,2.44,Battery_Level_%,-171.14,Pressure,63.9,P_Capacity_%,49.02,Body_temp_C,23.44,Body_temp_F,74.19,Heart_rate,79,682,517
2023-04-11 19:16:05,Amb_Temperature,24.71,Accel_X,0.02,Accel_Y,-0.24,Accel_Z,10.12,Volume,0.00000,W_Capacity_%,0.00,Battery_Voltage,2.48,Battery_Level_%,-166.86,Pressure,63.6,P_Capacity_%,48.74,Body_temp_C,23.44,Body_temp_F,74.19,Heart_rate,79,682,527
2023-04-11 19:16:06,Amb_Temperature,24.77,Accel_X,0.03,Accel_Y,-0.24,Accel_Z,10.16,Volume,0.00000,W_Capacity_%,0.00,Battery_Voltage,2.43,Battery_Level_%,-172.83,Pressure,65.8,P_Capacity_%,50.42,Body_temp_C,23.44,Body_temp_F,74.19,Heart_rate,78,822,524
2023-04-11 19:16:07,Amb_Temperature,24.79,Accel_X,0.02,Accel_Y,-0.25,Accel_Z,10.09,Volume,0.00000,W_Capacity_%,0.00,Battery_Voltage,2.48,Battery_Level_%,-167.14,Pressure,65.8,P_Capacity_%,50.42,Body_temp_C,23.44,Body_temp_F,74.19,Heart_rate,78,822,527
2023-04-11 19:16:08,Amb_Temperature,24.72,Accel_X,0.01,Accel_Y,-0.25,Accel_Z,10.14,Volume,0.00000,W_Capacity_%,0.00,Battery_Voltage,2.49,Battery_Level_%,-166.30,Pressure,70.9,P_Capacity_%,54.36,Body_temp_C,23.44,Body_temp_F,74.19,Heart_rate,78,822,526
2023-04-11 19:16:08,Amb_Temperature,24.75,Accel_X,-0.00,Accel_Y,-0.25,Accel_Z,10.12,Volume,0.00000,W_Capacity_%,0.00,Battery_Voltage,2.51,Battery_Level_%,-163.69,Pressure,78.9,P_Capacity_%,60.54,Body_temp_C,23.44,Body_temp_F,74.19,Heart_rate,65,2266,527
2023-04-11 19:16:09,Amb_Temperature,24.75,Accel_X,0.00,Accel_Y,-0.26,Accel_Z,10.13,Volume,0.00000,W_Capacity_%,0.00,Battery_Voltage,2.51,Battery_Level_%,-164.06,Pressure,71.2,P_Capacity_%,54.64,Body_temp_C,23.44,Body_temp_F,74.19,Heart_rate,65,2266,527
2023-04-11 19:16:10,Amb_Temperature,24.76,Accel_X,0.01,Accel_Y,-0.25,Accel_Z,10.11,Volume,0.00000,W_Capacity_%,0.00,Battery_Voltage,2.50,Battery_Level_%,-164.72,Pressure,68.3,P_Capacity_%,52.39,Body_temp_C,23.44,Body_temp_F,74.19,Heart_rate,60,1516,529
2023-04-11 19:16:11,Amb_Temperature,24.73,Accel_X,0.01,Accel_Y,-0.26,Accel_Z,10.15,Volume,0.00000,W_Capacity_%,0.00,Battery_Voltage,2.53,Battery_Level_%,-161.33,Pressure,70.1,P_Capacity_%,53.79,Body_temp_C,23.37,Body_temp_F,74.07,Heart_rate,60,1516,526
